file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\abstractfactory\MacCheckbox.java,abstractfactory.MacCheckbox,class,1,2,1,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\factorymethod\SimplePizzaFactory.java,factorymethod.SimplePizzaFactory,class,7,9,2,7,7,1,0,1,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,24,2,0,0,0,0,4,0,6,0,2,1,0,0,0,13,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\proxy\lab\ITable.java,proxy.lab.ITable,interface,1,3,2,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\builder\lab\IRequestBuilder.java,builder.lab.IRequestBuilder,interface,2,4,2,2,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\command\lab\UIClient.java,command.lab.UIClient,class,1,1,0,1,3,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\facade\CreditHistoryVerifier.java,facade.CreditHistoryVerifier,class,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\command\Database.java,command.Database,class,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\command\Person.java,command.Person,class,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\lab\ITargetStack.java,adapter.lab.ITargetStack,interface,0,2,2,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\builder\MealDirector.java,builder.MealDirector,class,2,3,1,2,3,1,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,0,0,7,1,0
